MFonMB,Subj,Choice
5.3649,84,0
0.36485,84,0
-2.6351,84,0
3.3649,84,0
4.3649,84,0
-4.6351,85,1
-3.6351,85,1
-2.6351,85,1
-3.6351,85,1
-2.6351,85,1
3.3649,85,1
-4.6351,85,1
1.3649,85,1
-2.6351,85,0
2.3649,85,1
4.3649,85,1
0.36485,85,1
0.36485,85,1
-3.6351,86,0
-0.63515,86,0
-0.63515,86,1
4.3649,86,0
-3.6351,86,0
-1.6351,86,1
0.36485,86,1
0.36485,86,1
-2.6351,86,1
2.3649,86,0
-4.6351,86,1
2.3649,86,0
0.36485,86,0
0.36485,87,1
-2.6351,87,0
-3.6351,87,1
0.36485,87,0
3.3649,87,0
-3.6351,87,1
-3.6351,87,0
-0.63515,87,1
-1.6351,87,0
0.36485,87,1
2.3649,87,0
2.3649,87,0
4.3649,87,0
1.3649,88,0
1.3649,88,0
-4.6351,88,0
-1.6351,88,0
3.3649,88,1
-3.6351,88,0
0.36485,88,0
2.3649,88,1
-0.63515,88,0
-1.6351,88,0
-0.63515,88,0
-4.6351,88,0
2.3649,88,1
-4.6351,88,0
0.36485,89,1
3.3649,89,0
0.36485,89,0
5.3649,89,0
4.3649,89,1
1.3649,89,0
-2.6351,89,1
0.36485,89,0
-1.6351,89,0
-2.6351,89,0
1.3649,89,1
2.3649,89,1
0.36485,89,0
1.3649,90,1
4.3649,90,0
3.3649,90,1
0.36485,90,0
-2.6351,90,0
-3.6351,90,1
-0.63515,90,0
-2.6351,90,0
-4.6351,90,1
-0.63515,90,1
4.3649,90,0
-2.6351,90,0
-0.63515,90,0
-1.6351,91,1
4.3649,91,0
-1.6351,91,0
-3.6351,91,1
-0.63515,91,0
-1.6351,91,1
3.3649,91,0
-0.63515,91,1
0.36485,91,0
3.3649,91,1
-1.6351,91,1
-3.6351,91,0
0.36485,91,1
-2.6351,92,1
2.3649,92,1
3.3649,92,0
-3.6351,92,1
-2.6351,92,1
3.3649,92,0
2.3649,92,0
-1.6351,92,0
-0.63515,92,0
-0.63515,92,1
4.3649,92,0
2.3649,92,0
3.3649,92,1
1.3649,93,0
0.36485,93,1
3.3649,93,1
5.3649,93,0
1.3649,93,0
4.3649,93,0
2.3649,93,0
5.3649,93,1
4.3649,93,1
1.3649,93,0
3.3649,93,1
-3.6351,93,0
4.3649,93,0
-0.63515,94,1
0.36485,94,1
4.3649,94,1
-3.6351,94,1
-1.6351,94,1
-2.6351,94,1
-1.6351,94,0
3.3649,94,0
2.3649,94,0
-1.6351,94,1
-2.6351,94,0
-2.6351,94,0
1.3649,94,0
0.36485,95,1
2.3649,95,0
-1.6351,95,0
-3.6351,95,0
2.3649,95,0
0.36485,95,0
-3.6351,95,0
-0.63515,95,0
0.36485,95,0
-0.63515,95,1
3.3649,95,1
-0.63515,95,0
-2.6351,95,0
-3.6351,96,1
2.3649,96,0
-3.6351,96,0
1.3649,96,1
1.3649,96,0
-4.6351,96,0
-3.6351,96,0
-2.6351,96,0
-1.6351,96,0
-0.63515,96,0
-0.63515,96,0
0.36485,96,0
-1.6351,96,1
-3.6351,96,0
-3.6351,97,1
-2.6351,97,0
-3.6351,97,0
-3.6351,97,0
5.3649,97,0
1.3649,97,0
0.36485,97,0
0.36485,97,0
-1.6351,97,0
1.3649,97,0
0.36485,97,0
-0.63515,97,0
-1.6351,97,1
4.3649,98,0
-3.6351,98,1
-2.6351,98,0
-3.6351,98,0
4.3649,98,1
-2.6351,98,1
0.36485,98,0
-2.6351,98,0
3.3649,98,1
-4.6351,98,1
-3.6351,98,0
-0.63515,98,0
-1.6351,98,1
1.3649,99,0
1.3649,99,1
5.3649,99,1
2.3649,99,0
0.36485,99,0
3.3649,99,0
4.3649,99,0
1.3649,99,1
-0.63515,99,0
3.3649,99,1
3.3649,99,1
4.3649,99,1
-0.63515,99,1
3.3649,100,1
-0.63515,100,0
-0.63515,100,0
-0.63515,100,1
-3.6351,100,0
1.3649,100,1
-3.6351,100,0
4.3649,100,1
-3.6351,100,1
-3.6351,100,1
-3.6351,100,1
-3.6351,100,1
-3.6351,100,1
5.3649,101,0
2.3649,101,1
-0.63515,101,1
2.3649,101,0
2.3649,101,1
2.3649,101,0
-3.6351,101,1
2.3649,101,0
2.3649,101,0
0.36485,101,0
4.3649,101,1
0.36485,101,0
1.3649,101,1
-3.6351,102,1
3.3649,102,0
1.3649,102,0
1.3649,102,0
-0.63515,102,0
0.36485,102,1
-1.6351,102,1
4.3649,102,0
-4.6351,102,0
1.3649,102,1
-0.63515,102,1
4.3649,102,1
2.3649,102,0
2.3649,103,0
-0.63515,103,1
0.36485,103,1
1.3649,103,0
5.3649,103,0
-2.6351,103,0
1.3649,103,1
1.3649,103,0
2.3649,103,0
-2.6351,103,0
-0.63515,103,0
-3.6351,103,1
-4.6351,103,0
2.3649,104,0
-2.6351,104,0
-1.6351,104,1
4.3649,104,0
3.3649,104,0
0.36485,104,0
-3.6351,104,0
-3.6351,104,1
-2.6351,104,0
0.36485,104,0
5.3649,104,0
1.3649,104,0
-1.6351,104,0
-1.6351,104,0
-1.6351,105,1
-1.6351,105,0
1.3649,105,0
-4.6351,105,0
0.36485,105,0
1.3649,105,0
-3.6351,105,0
-2.6351,105,0
3.3649,105,0
0.36485,105,0
-0.63515,105,1
3.3649,105,0
5.3649,105,0
-4.6351,106,1
2.3649,106,1
3.3649,106,0
2.3649,106,0
-1.6351,106,0
1.3649,106,1
3.3649,106,0
5.3649,106,1
1.3649,106,0
2.3649,106,1
-3.6351,106,1
-3.6351,106,1
0.36485,106,1
3.3649,107,0
-1.6351,107,1
1.3649,107,1
4.3649,107,1
2.3649,107,1
-2.6351,107,1
-0.63515,107,0
-3.6351,107,0
-3.6351,107,1
0.36485,107,1
5.3649,107,0
-0.63515,107,1
-3.6351,107,1
-3.6351,109,0
4.3649,109,0
-0.63515,109,1
-0.63515,109,0
4.3649,109,1
-2.6351,109,1
0.36485,109,1
0.36485,109,0
1.3649,109,0
-0.63515,109,1
2.3649,109,0
3.3649,109,1
-4.6351,109,1
0.36485,110,0
-4.6351,110,0
3.3649,110,0
-2.6351,110,0
-4.6351,110,0
4.3649,110,0
-1.6351,110,0
-0.63515,110,1
-0.63515,110,1
-0.63515,110,0
-2.6351,110,0
3.3649,110,0
-4.6351,110,1
-0.63515,111,0
2.3649,111,0
2.3649,111,1
-0.63515,111,1
1.3649,111,1
4.3649,111,1
2.3649,111,1
1.3649,111,0
1.3649,111,0
2.3649,111,1
-0.63515,111,1
1.3649,111,0
-4.6351,111,0
2.3649,112,0
-0.63515,112,1
4.3649,112,1
-3.6351,112,1
0.36485,112,1
3.3649,112,1
-0.63515,112,1
4.3649,112,0
0.36485,112,0
-2.6351,112,0
-0.63515,112,0
2.3649,112,0
3.3649,112,0
