subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:50,numberSum_v1,1,0,4,0,0,0,2105,1144,0,21,0,224
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:11:52,numberSum_v1,1,0,10,0,0,0,1331,943,0,29,0,225
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:56,numberSum_v1,1,0,15,0,0,0,1335,937,0,22,0,226
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:11:59,numberSum_v1,1,0,12,0,0,0,2366,931,0,30,0,227
AS4WHZ0EVURW_dg_v15,5/11/2015,22:12:04,numberSum_v1,1,1,1,1,1,0,2663,1486,0,23,0,228
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:06,numberSum_v1,1,0,15,0,2,0,1490,2848,0,31,0,229
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:13,numberSum_v1,1,1,10,1,2,0,1397,983,0,32,0,230
AS4WHZ0EVURW_dg_v15,5/11/2015,22:12:15,numberSum_v1,1,0,9,0,0,0,5491,1399,0,24,0,231
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:19,numberSum_v1,1,0,1,0,0,0,1829,825,0,33,0,232
AS4WHZ0EVURW_dg_v15,5/11/2015,22:12:22,numberSum_v1,1,0,9,0,0,0,2085,839,0,25,0,233
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:25,numberSum_v1,1,0,4,0,0,0,1254,741,0,34,0,234
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:31,numberSum_v1,1,0,7,0,0,0,1880,849,0,35,0,235
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:38,numberSum_v1,1,1,12,1,2,0,2711,897,0,36,0,236
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:44,numberSum_v1,1,1,9,1,1,0,1577,795,0,37,0,237
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:50,numberSum_v1,1,0,12,0,2,0,2496,771,0,38,0,238
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:12:56,numberSum_v1,1,1,10,1,1,0,1544,756,0,39,0,239
